"","SiteID","NumericDate","Watershed","d15Nit","d18ONit","OM_SizeClass","Watershed.x","Month","d15N","d13C","SampleID","dD","PerH","dD.comments"
"87","RB_1300E",140901,"Red Butte",6.65,-4.76,"DOM","Red Butte","Sep","7.5","-24.74",156,-170.2,0.7,""
"89","RB_900W_BA",140901,"Red Butte",9.62,-0.63,"DOM","Red Butte","Sep","13.05","-28",157,-108,1,""
"94","RB_ARBR_AA",140901,"Red Butte",3.64,-9,"DOM","Red Butte","Sep","1.39","-27.28",153,-101.7,1,""
"98","RB_CG_BA",140901,"Red Butte",5.33,-7.45,"DOM","Red Butte","Sep","3.27","-28.07",154,-108,1,""
"101","RB_FD_AA",140901,"Red Butte",4.99,-7.75,"DOM","Red Butte","Sep","3.41","-27.09",155,-100.4,1.2,""
"104","RB_KF_BA",140901,"Red Butte",4.48,-7.43,"DOM","Red Butte","Sep","6.78","-24.72",150,-135.9,0.9,""
"108","RB_RBG_BA",140901,"Red Butte",3.50333333333333,-10.1633333333333,"DOM","Red Butte","Sep","3.63","-28.18",152,-109,1,""
"113","RB_TM",140901,"Red Butte",4.37,-9.57,"DOM","Red Butte","Sep","8.03","-25.26",151,-147.4,0.8,""
"88","RB_1300E",141118,"Red Butte",6.6,-4.67,"DOM","Red Butte","Nov","submitted","submitted",189,-156.1,1.1,""
"91","RB_900W_BA",141118,"Red Butte",9.35,-2.73,"DOM","Red Butte","Nov","submitted","submitted",190,-88.1,1.1,""
"96","RB_ARBR_AA",141118,"Red Butte",13.11,23.25,"DOM","Red Butte","Nov","submitted","submitted",186,-117.7,1.1,""
"100","RB_CG_BA",141118,"Red Butte",8.16,27.72,"DOM","Red Butte","Nov","submitted","submitted",187,-133.9,1.2,""
"103","RB_FD_AA",141118,"Red Butte",18.19,25.23,"DOM","Red Butte","Nov","submitted","submitted",188,-139.8,1.2,""
"106","RB_KF_BA",141118,"Red Butte",4.87,-6.41,"DOM","Red Butte","Nov","submitted","submitted",183,-158.6,1,""
"111","RB_RBG_BA",141118,"Red Butte",5.32,-3.18,"DOM","Red Butte","Nov","submitted","submitted",185,-150,1.2,""
"114","RB_TM",141118,"Red Butte",9.92,11.3,"DOM","Red Butte","Nov","submitted","submitted",184,-133.1,1,""
"2","1700",140910,"Jordan",10.55,-5.38,"FPOM","Jordan","Sep","7.065","-22.52",35,-162.1,0.8,""
"14","5400",140910,"Jordan",14.05,-0.63,"FPOM","Jordan","Sep","8.7","-22.025",30,-167.4,0.8,""
"18","7800",140910,"Jordan",9.42,-0.17,"FPOM","Jordan","Sep","5.645","-21.85",29,-168.5,0.7,""
"116","Ulake",140910,"Jordan",0.35,22.16,"FPOM","Jordan","Sep","9.433333333","-9.923333333",28,-165.6,0.6,""
"6","2300",140912,"Jordan",10.6366666666667,-5.02333333333333,"FPOM","Jordan","Sep","7.09","-17.7",32,-159.7,0.9,""
"10","3300",140912,"Jordan",10.15,-1.96,"FPOM","Jordan","Sep","5.595","-23.495",31,-162.7,0.8,""
"22","Cudahy",140912,"Jordan",10.69,-4.71,"FPOM","Jordan","Sep","8.34","-20.96",36,-158.5,0.9,""
"50","MillDown",140912,"Jordan",11.28,-5.82,"FPOM","Jordan","Sep","6.58","-23.69",33,-119.3,2.2,""
"55","MillUp",140912,"Jordan",7.55,-3.85,"FPOM","Jordan","Sep","7.51","-23.54",34,-161.8,1.1,""
"12","3300",141124,"Jordan",10.85,-2.83,"FPOM","Jordan","Nov","submitted","submitted",62,-154,0.9,""
"15","5400",141124,"Jordan",14.47,-0.1,"FPOM","Jordan","Nov","submitted","submitted",61,-162.5,1,""
"19","7800",141124,"Jordan",8.67,-3.48,"FPOM","Jordan","Nov","submitted","submitted",60,-161.8,0.7,""
"118","Ulake",141124,"Jordan",13.96,5.03,"FPOM","Jordan","Nov","submitted","submitted",59,-170.7,0.8,""
"3","1700",141126,"Jordan",11.97,-3.31,"FPOM","Jordan","Nov","submitted","submitted",66,-150.7,1.2,""
"7","2300",141126,"Jordan",13.15,-4.42,"FPOM","Jordan","Nov","submitted","submitted",63,-150.9,1.4,""
"23","Cudahy",141126,"Jordan",13.19,-3.83,"FPOM","Jordan","Nov","submitted","submitted",58,-130.5,1.1,""
"52","MillDown",141126,"Jordan",13.4,-3.565,"FPOM","Jordan","Nov","submitted","submitted",64,-140.4,3,"small peak/no material left"
"57","MillUp",141126,"Jordan",7.8,-3.74,"FPOM","Jordan","Nov","submitted","submitted",65,-159.1,0.9,""
"38","LR_Mendon_AA",140904,"Logan",13.38,-0.5,"FPOM","Logan","Sep","7.58","-29.03",12,-202,1.2,""
"45","LR_TonyGrove_BA",140904,"Logan",4.98,-5.38,"FPOM","Logan","Sep","3.82","-28.67",10,-204.6,1.5,""
"48","LR_WaterLab_AA",140904,"Logan",3.78,-3.48,"FPOM","Logan","Sep",NA,NA,11,-169.1,0.8,""
"30","LR_HWY252",140913,NA,NA,NA,"FPOM","Logan","Sep","5.4","-28.27",13,-175.5,1.1,""
"36","LR_MainSt_BA",141120,"Logan",4.07,-4.63,"FPOM","Logan","Nov","submitted","submitted",44,NA,NA,"no peak/no material left"
"42","LR_Temple",141122,"Logan",4.14,-5.35,"FPOM","Logan","Nov","submitted","submitted",39,-200.9,0.6,"small peak/no material left"
"29","LR_Franklin_BA",141125,"Logan",3.63,-4.61,"FPOM","Logan","Nov","submitted","submitted",38,NA,NA,"no peak/no material left"
"32","LR_HWY252",141202,"Logan",7.64,-2.89,"FPOM","Logan","Nov","submitted","submitted",42,-158,0.4,"small peak/no material left"
