"","X.1","Endmember","Site.ID","NumericDate","Watershed.x","d15N","d13C","X","SampleID","dD","PerH","Comments","Sample.ID","Month","Watershed.y","TrayName"
"52",50,"FPOM","PR_SpringCreek",140903,"Provo","4.62","-28.3",43,18,-180,1.2,"",18,"Sep","Provo","15-Apr-15"
"53",51,"FPOM","PR_ST_BA",140903,"Provo","2.75","-25.77",39,14,-136.4,1.6,"small peak/no material left",14,"Sep","Provo","15-Apr-15"
"54",52,"FPOM","PR_Vivian",140903,"Provo","9.71","-29.2",45,20,-168.1,1,"small peak/no material left",20,"Sep","Provo","15-Apr-15"
"55",53,"FPOM","RB_1300E",140901,NA,NA,NA,51,26,-153,0.2,"small peak/no material left",26,"Sep","Red Butte","15-Apr-15"
"56",54,"FPOM","RB_1300S",140901,NA,NA,NA,52,27,-154.7,0.8,"",27,"Sep","Red Butte","15-Apr-15"
"57",56,"FPOM","RB_CG_BA",140901,NA,NA,NA,50,25,-164.4,1.2,"",25,"Sep","Red Butte","15-Apr-15"
"58",59,"FPOM","RB_RBG_BA",140901,NA,NA,NA,48,23,-169,0.9,"",23,"Sep","Red Butte","15-Apr-15"
"59",55,"FPOM","RB_ARBR_AA",140901,"Red Butte","3.83","-26.84",49,24,-150.5,0.8,"small peak/no material left",24,"Sep","Red Butte","15-Apr-15"
"60",57,"FPOM","RB_FD_AA",140901,"Red Butte","3.52","-28.16",34,9,-126.9,0.9,"small peak/no material left",9,"Sep","Red Butte","15-Apr-15"
"61",58,"FPOM","RB_KF_BA",140901,"Red Butte","5.025","-27.23",47,22,-170.7,0.9,"",22,"Sep","Red Butte","15-Apr-15"
"62",60,"FPOM","RB_TM",140901,"Red Butte","4.34","-27.28",62,37,-148.5,2.7,"small peak/no material left",37,"Sep","Red Butte","15-Apr-15"
